"","x"
"1","CAPN5"
"2","SLC25A52"
"3","SHISA9"
"4","RTL5"
"5","PPP1R11"
"6","DGKG"
"7","TCEAL7"
"8","ROPN1L"
"9","TSPAN8"
"10","TMEM119"
"11","TBC1D3F"
"12","SMIM11A"
"13","SLC6A17"
"14","SLC30A2"
"15","SHBG"
"16","SGIP1"
"17","SCARA5"
"18","PYDC2"
"19","PTH"
"20","PLCH2"
"21","PLA2G2C"
"22","PCDHA3"
"23","PAG1"
"24","ONECUT3"
"25","OMP"
"26","NRCAM"
"27","NR1I2"
"28","KCNQ1"
"29","HPDL"
"30","HIST1H1A"
"31","GFPT2"
"32","GBP3"
"33","FRK"
"34","FLT1"
"35","FCGR1A"
"36","FAM153C"
"37","EVX2"
"38","EPS8L3"
"39","DNAI2"
"40","CYP2A7"
"41","CRYBA2"
"42","CRISP3"
"43","CNTNAP4"
"44","CFAP65"
"45","CATSPER4"
"46","CALCRL"
"47","ARSE"
"48","ARHGAP29"
"49","APOA1"
"50","APLN"
"51","ANKRD30A"
"52","ANGPTL2"
"53","AL354808.2"
"54","AL136373.1"
"55","ADH4"
"56","AC068896.1"
"57","WTH3DI"
"58","RDH12"
"59","DCST2"
"60","CHURC1"
"61","SLC22A17"
"62","COL9A2"
"63","RNF144A"
"64","DMBX1"
"65","ALAS2"
"66","FAM198A"
"67","ABLIM1"
"68","EPB42"
"69","BTG2"
"70","HPCA"
"71","RELN"
"72","FAXDC2"
"73","SCIN"
"74","ULBP2"
"75","YPEL5"
"76","KLHDC8A"
"77","KIAA1683"
"78","C11orf16"
"79","LBH"
"80","EMILIN2"
"81","FAM46C"
"82","ZNF605"
"83","TUBB1"
"84","CHRM5"
"85","TEX45"
"86","ABHD17C"
"87","VN1R1"
"88","FXYD1"
"89","DNAH10OS"
"90","AL138752.2"
"91","DAPP1"
"92","ZSCAN4"
"93","RGS9"
"94","BST1"
"95","AFF2"
"96","PLPP4"
"97","PIWIL3"
"98","LTF"
"99","KCNN3"
"100","SH3BGRL2"
"101","TMPRSS11B"
"102","CMKLR1"
"103","KLHL4"
"104","RHCE"
"105","SLC39A8"
"106","TMEM54"
"107","PROX1"
"108","PPOX"
"109","SERPINF1"
"110","DGCR6"
"111","KEL"
"112","ENG"
"113","UGT2B28"
"114","UBTD2"
"115","CDKL5"
"116","TMOD2"
"117","ACTC1"
"118","SLC4A1"
"119","ATP9A"
"120","CBLB"
"121","HECW2"
"122","SEMA7A"
"123","RAB6B"
"124","STYK1"
"125","ZNF565"
"126","RGS2"
"127","CAMK2A"
"128","TIGAR"
"129","NXF3"
"130","HOXC12"
"131","FP565260.6"
"132","SLC6A9"
"133","AQP10"
"134","IL1R1"
"135","MMP23B"
"136","C12orf40"
"137","CLDN9"
"138","SLC7A8"
"139","CHST3"
"140","RHD"
"141","CCDC92"
"142","ID2"
